//Для удобства обслуживания список отсортирован в алфавитном порядке.

// Исправление согласно концепции «12+» для Core.

выровнять; выравнивать
извлечь; извлекать
изучить; изучать
забить; забивать
загрузить; загружать
заправить; заправлять
засеять; засевать
навестить; навещать
нагрузить; нагружать
наполнить; наполнять
обеспечить материалами; обеспечивать материалами
объединить; объединять
опустошить; опустошать
остричь; остригать
отвести в загон; отводить в загон
отдохнуть в; отдыхать в
открыть; открывать
отнести в кровать; относить в кровать
отнести еду для; относить еду для
отнести на операцию; относить на операцию
отпустить; отпускать
очистить от краски; очищать от краски
перезарядить; перезаряжать
переключить; переключать
перенести; переносить
поговорить с; разговаривать с
подоить; доить
покормить; кормить
покрасить; красить
попытаться приручить; приручать
посадить; сажать
построить; строить
потушить; тушить
починить; чинить
провести медпроцедуру; проводить медпроцедуру
разгрузить; разгружать
раздеть тело; раздевать тело
разобрать; разбирать
разобрать крышу; разбирать крышу
разработать; разрабатывать
слить напиток, опорожнив; сливать напиток, опорожнив
снять покрытие; снимать покрытие
собрать; собирать
соорудить крышу; сооружать крышу
спасти; спасать
срубить; срубать
убрать; убирать
убрать снег; убирать снег
установить исправные компоненты в; устанавливать исправные компоненты в

//Исправление согласно концепции «12+» для Ideology.

//Хорошо бы убрать извлечение черепа. Код работает, но команда балансеров забраковала результат. Начата работа по перебалансировке, нужен мод например на новые трофеи.
//Сохраняем код на случай повторной выбраковки:
//предать очищающему огню; предавать очищающему огню

арестовать; арестовывать
заправить; заправлять
извлечь череп; извлекать череп
освободить; освобождать
подавить; подавлять
сменить касту дриад, которых порождает; менять касту дриад, которых порождает
